"id","cpf","salario"
"2","00488093122","2983.48"
"4","00798193948","5061.43"
"6","00638998318","1979.87"
"8","00454653767","4711.16"
"10","00300674950","910.95"
"12","00133737989","9281.71"
"14","00144502453","6007.12"
"16","00127587090","6405.84"
"18","00066855927","4977.67"
"20","00825766437","3937.46"
"22","00204862614","9485.14"
"24","00593829942","2750.68"
"26","00910831831","3674.50"
"28","00718593934","8915.13"
"30","00388760106","5445.01"
"32","00804891383","1400.76"
"34","00179996621","4884.33"
"36","00202657674","8276.32"
"38","00078434455","6090.20"
"40","00706479120","2171.93"
"42","00235874210","2624.30"
"44","00001284950","4208.80"
"46","00802852240","6119.02"
"48","00773381465","1273.70"
"50","00674987282","5906.84"
"52","00451631024","3257.32"
"54","00455273523","1635.04"
"56","00112619125","5292.11"
"58","00636050231","4108.20"
"60","00266134006","5757.17"
"62","00437553410","6878.42"
"64","00414768729","1173.75"
"66","00157486344","8409.74"
"68","00655347763","2693.80"
"70","00734042647","2236.96"
"72","00615295863","5858.06"
"74","00740096926","6628.28"
"76","00329331280","8159.12"
"78","00129621159","7464.97"
"80","00738701414","7564.40"
"82","00479559023","6828.01"
"84","00073669091","9153.55"
"86","00747474510","8251.56"
"88","00112263715","8706.13"
"90","00635424715","5665.91"
"92","00441142748","2362.50"
"94","00161000026","4218.03"
"96","00916973539","9408.21"
"98","00415810101","1553.00"
"100","00104455455","2165.20"
"102","00391389721","2843.68"
"104","00330664846","7897.44"
"106","00886288541","602.16"
"108","00691315206","5767.83"
"110","00747249133","1976.16"
"112","00304380615","852.03"
"114","00673806255","7700.99"
"116","00335852611","3161.27"
"118","00855806095","9331.03"
"120","00879644696","8605.29"
"122","00156385365","9032.82"
"124","00431866468","8903.83"
"126","00573205808","781.99"
"128","00784638048","9118.08"
"130","00531029525","8434.02"
"132","00658286585","3367.20"
"134","00798297901","8294.05"
"136","00402188129","6633.27"
"138","00652283257","1964.41"
"140","00946059177","9277.98"
"142","00549206805","4371.22"
"144","00443644066","3566.75"
"146","00273430390","501.29"
"148","00114748092","8922.69"
"150","00217880452","2461.91"
"152","00057846406","74.89"
"154","00577811227","4776.47"
"156","00899897705","6709.93"
"158","00167206264","9776.35"
"160","00627154677","3528.21"
"162","00073153925","8882.19"
"164","00746532075","5607.52"
"166","00125209406","2687.89"
"168","00170963081","541.91"
"170","00540297536","7783.37"
"172","00213648489","5707.30"
"174","00325589716","7753.91"
"176","00240401980","9177.16"
"178","00673452690","3497.29"
"180","00284462980","8720.88"
"182","00233026508","4816.49"
"184","00975511715","2802.66"
"186","00684537401","1727.05"
"188","00187895468","6995.59"
"190","00814595421","3542.34"
"192","00721137934","9315.18"
"194","00671451966","121.60"
"196","00939816295","3075.50"
"198","00967577448","5223.92"
"200","00813244050","448.24"
"202","00305657444","3637.72"
"204","00724827620","5917.53"
"206","00647519769","9540.29"
"208","00146877183","6431.26"
"210","00675010341","586.05"
"212","00176887629","8190.08"
"214","00664153385","4461.99"
"216","00070382564","8982.52"
"218","00438587911","528.67"
"220","00076113596","737.13"
"222","00122772414","959.75"
"224","00475912053","4750.31"
"226","00186391675","1604.70"
"228","00149019987","7464.35"
"230","00785283698","3829.17"
"232","00124375035","440.87"
"234","00029807316","7094.59"
"236","00028879516","8028.87"
"238","00356803754","5239.48"
"240","00022421815","5254.03"
"242","00727981391","3813.17"
"244","00046157047","3000.84"
"246","00965833521","6099.81"
"248","00360420805","8283.05"
"250","00763225467","4345.28"
"252","00519728827","1357.79"
"254","00414060463","6418.04"
"256","00964485358","4707.76"
"258","00698473365","1566.01"
"260","00908929211","5921.07"
"262","00940568401","9895.46"
"264","00236981619","1575.79"
"266","00688631372","7281.44"
"268","00322025595","6697.17"
"270","00479609395","6236.05"
"272","00946375255","1307.74"
"274","00920159469","2138.08"
"276","00836631147","8567.65"
"278","00158472941","2028.24"
"280","00366647901","7592.64"
"282","00976346257","3662.13"
"284","00299808387","4652.98"
"286","00458638703","1568.86"
"288","00265767960","7200.12"
"290","00244014266","8128.40"
"292","00316675403","2666.13"
"294","00938936794","1366.30"
"296","00893772944","5203.06"
"298","00826897234","5878.61"
"300","00524919325","4769.81"
"302","00937533054","1482.75"
"304","00396350097","9550.76"
"306","00675547826","837.31"
"308","00119594089","883.59"
"310","00788733868","3313.75"
"312","00079429844","2422.57"
"314","00453355023","8096.05"
"316","00323856917","4417.20"
"318","00427139421","7713.57"
"320","00019513902","7635.82"
"322","00089560621","1385.88"
"324","00799553070","2459.82"
"326","00001982615","1604.31"
"328","00484722928","3203.86"
"330","00688965359","4375.65"
"332","00580392996","7708.85"
"334","00883566249","5961.79"
"336","00577365389","1566.98"
"338","00717809019","1188.28"
"340","00691851231","1069.48"
"342","00252237811","423.13"
"344","00511967579","6099.59"
"346","00556644889","6152.40"
"348","00576400414","8401.37"
"350","00299012142","196.58"
"352","00927404640","6946.94"
"354","00517860151","76.93"
"356","00421582454","9039.72"
"358","00363905785","6331.70"
"360","00940778939","1768.76"
"362","00454171660","5478.11"
"364","00514327927","668.44"
"366","00038511494","6489.30"
"368","00144039900","8159.03"
"370","00372953306","8919.16"
"372","00954017286","8979.11"
"374","00169692183","2719.15"
"376","00132763198","8797.52"
"378","00864478359","5856.42"
"380","00898899583","1014.66"
"382","00591001628","4692.28"
"384","00603323672","9741.83"
"386","00212625248","7332.58"
"388","00445989838","1654.39"
"390","00219423258","8333.80"
"392","00290621402","5985.17"
"394","00387020618","5364.68"
"396","00389799724","7779.60"
"398","00714379004","6542.37"
"400","00752250185","202.03"
"402","00856205247","310.43"
"404","00253759700","3196.55"
"406","00427975633","2893.31"
"408","00671630165","9635.57"
"410","00580105827","8421.07"
"412","00647899495","1152.93"
"414","00568861669","4792.89"
"416","00900645494","4906.58"
"418","00612958279","8.97"
"420","00061820694","7688.51"
"422","00802149939","8493.78"
"424","00690527838","2852.47"
"426","00240110016","7884.91"
"428","00040591650","9898.18"
"430","00667590934","5372.11"
"432","00841873316","5311.77"
"434","00043982615","5665.76"
"436","00903730915","2475.13"
"438","00450950315","5596.73"
"440","00938182345","2801.28"
"442","00483591422","1509.58"
"444","00590084372","2349.68"
"446","00107987357","4333.07"
"448","00243364752","4862.35"
"450","00044246794","1055.48"
"452","00575654781","4394.81"
"454","00410982837","4972.39"
"456","00332048493","849.21"
"458","00612122519","2079.16"
"460","00234044471","402.67"
"462","00304874184","9078.02"
"464","00289273352","1485.46"
"466","00871254998","3892.01"
"468","00217650967","1489.03"
"470","00842785993","9334.71"
"472","00022882350","1012.45"
"474","00859101562","9530.01"
"476","00331306062","2299.42"
"478","00493510898","2880.06"
"480","00106252373","7672.57"
"482","00321583401","9527.83"
"484","00686035814","4719.76"
"486","00894216592","6290.91"
"488","00609321986","4362.90"
"490","00732812922","5531.99"
"492","00139431415","6604.80"
"494","00235133328","3207.89"
"496","00598348404","686.00"
"498","00376157628","757.02"
"500","00335949578","6613.26"
"502","00202815696","7751.02"
"504","00137301881","2594.99"
"506","00299485471","67.30"
"508","00599414546","4333.48"
"510","00522537004","6357.11"
"512","00318796076","4461.99"
"514","00024438844","6405.25"
"516","00685791212","9277.51"
"518","00767555734","3758.21"
"520","00720820315","829.52"
"522","00862926264","6868.80"
"524","00664532326","5527.79"
"526","00008696913","2131.28"
"528","00326056014","2630.87"
"530","00237257488","2460.40"
"532","00004550712","4700.55"
"534","00291306622","8716.26"
"536","00170711545","6351.36"
"538","00800632846","2591.90"
"540","00069415974","8489.63"
"542","00797456055","1380.39"
"544","00568336212","9114.07"
"546","00818771687","7517.05"
"548","00317705848","6076.49"
"550","00330761409","4866.07"
"552","00202881459","2694.06"
"554","00027950806","6137.71"
"556","00730498809","8657.75"
"558","00578514949","3976.66"
"560","00976114011","5958.46"
"562","00216696161","8239.13"
"564","00946806029","1537.06"
"566","00835666366","7039.65"
"568","00080938904","9592.74"
"570","00261265622","8368.99"
"572","00107087242","3240.35"
"574","00740555636","1331.39"
"576","00255317775","9959.44"
"578","00098500573","8122.86"
"580","00107294953","8416.82"
"582","00195287777","2275.89"
"584","00748846369","3743.34"
"586","00268470677","342.62"
"588","00235274025","2105.56"
"590","00108464131","49.19"
"592","00153431504","205.21"
"594","00471438892","2959.60"
"596","00981645095","9460.95"
"598","00513007988","5468.06"
"600","00603808179","8128.18"
"602","00268252755","3936.24"
"604","00620168853","9062.44"
"606","00734482668","101.63"
"608","00888732850","3372.07"
"610","00349922865","2915.96"
"612","00864011724","3153.83"
"614","00632068532","8551.41"
"616","00865948949","4235.83"
"618","00327769137","5543.78"
"620","00581504470","7995.84"
"622","00426678389","8875.67"
"624","00623633012","3471.80"
"626","00473609213","3624.35"
"628","00076893044","7671.21"
"630","00437230397","9846.07"
"632","00009519242","7058.90"
"634","00456998994","3886.05"
"636","00854007250","4157.76"
"638","00197312256","3534.94"
"640","00791690544","2813.43"
"642","00999899373","746.19"
"644","00487558650","2677.77"
"646","00871348421","107.58"
"648","00628298639","7503.50"
"650","00774938581","7091.56"
"652","00613664240","4424.53"
"654","00554465180","5487.71"
"656","00787564827","2771.63"
"658","00013561035","72.71"
"660","00103737774","3854.55"
"662","00743327681","5804.91"
"664","00012001046","7663.10"
"666","00631547697","9125.05"
"668","00855791440","8098.09"
"670","00757146898","1914.90"
"672","00376181564","6101.88"
"674","00250601899","5870.45"
"676","00757774231","6834.47"
"678","00607992231","8171.75"
"680","00910020780","26.54"
"682","00545480947","80.65"
"684","00889674289","4456.13"
"686","00772495223","2476.91"
"688","00299407645","957.39"
"690","00135526163","7376.10"
"692","00738960219","1085.39"
"694","00004315565","8762.11"
"696","00389732982","5405.58"
"698","00292220611","3055.07"
"700","00667150323","8669.09"
"702","00034800593","5505.26"
"704","00217933934","3546.80"
"706","00694639270","8656.12"
"708","00272912214","8442.99"
"710","00276695476","859.88"
"712","00528822279","7133.30"
"714","00488798683","3690.02"
"716","00656239433","3929.76"
"718","00674008560","4568.62"
"720","00438468906","7338.64"
"722","00792117629","4108.28"
"724","00946375756","7750.05"
"726","00955410424","5861.48"
"728","00655631691","8857.30"
"730","00253437269","239.95"
"732","00222198184","3193.97"
"734","00687788672","4325.68"
"736","00688638851","7884.33"
"738","00708127075","9205.34"
"740","00942470887","7286.14"
"742","00961133994","1186.43"
"744","00353616044","5271.74"
"746","00744283962","1868.70"
"748","00996384166","905.00"
"750","00873934858","369.30"
"752","00678622669","6931.85"
"754","00076879221","6877.84"
"756","00261782546","3520.36"
"758","00386921530","316.47"
"760","00046289788","8997.99"
"762","00530134281","9256.03"
"764","00620869365","8373.87"
"766","00020028085","4408.55"
"768","00051428097","7271.08"
"770","00799198107","661.39"
"772","00045519254","2628.02"
"774","00007999426","1234.82"
"776","00333835202","3761.38"
"778","00469036191","6160.87"
"780","00388899074","4359.27"
"782","00512304104","7991.83"
"784","00987117951","3317.42"
"786","00961261485","1626.98"
"788","00440570725","651.55"
"790","00813086493","1159.52"
"792","00730116997","564.62"
"794","00073248365","7978.11"
"796","00024076542","9350.13"
"798","00421842502","7594.21"
"800","00692614831","2521.76"
"802","00604935036","2950.48"
"804","00201884601","4155.70"
"806","00053301208","7125.39"
"808","00977887773","9164.99"
"810","00392874873","3708.31"
"812","00181977522","2058.29"
"814","00547888837","3009.76"
"816","00953244979","5833.94"
"818","00293951980","3026.10"
"820","00224696557","5109.36"
"822","00731607219","8085.29"
"824","00980699114","2075.01"
"826","00503050742","4131.29"
"828","00086571545","9276.76"
"830","00634436792","1890.67"
"832","00556230668","3136.49"
"834","00782931553","4723.98"
"836","00358845020","1333.07"
"838","00270699344","2325.54"
"840","00735309030","675.72"
"842","00568252579","1638.58"
"844","00717672458","6227.05"
"846","00736511354","1010.78"
"848","00538273982","9173.27"
"850","00475711997","2812.51"
"852","00625687875","2090.78"
"854","00560774700","747.24"
"856","00063505695","290.27"
"858","00126822639","4872.68"
"860","00490656881","8026.37"
"862","00012086633","1063.63"
"864","00313551003","2101.96"
"866","00477565461","2490.20"
"868","00476090353","181.65"
"870","00762414499","822.83"
"872","00486349446","1119.83"
"874","00070499648","3300.99"
"876","00320470667","3168.36"
"878","00375884706","7090.96"
"880","00595035052","2870.44"
"882","00531350668","8096.64"
"884","00594806587","2074.89"
"886","00316338534","1588.91"
"888","00004850320","6484.08"
"890","00070943309","148.76"
"892","00160925426","1739.54"
"894","00416903326","4831.93"
"896","00752206787","1964.33"
"898","00697912113","2104.32"
"900","00752921152","2539.98"
"902","00628803901","7563.09"
"904","00464875867","1371.38"
"906","00433765001","8372.59"
"908","00336756644","9414.99"
"910","00243781101","9610.61"
"912","00514649042","881.38"
"914","00516322541","3550.82"
"916","00415333491","5928.24"
"918","00688039137","8095.10"
"920","00803881563","3917.81"
"922","00921569117","1031.59"
"924","00657517187","520.53"
"926","00697783174","419.21"
